State, 0, 1, 2, 3, 4, 5
Alabama,Cucumbers: 4440000,Peaches,,,,
Alaska,Apples,,,,,
Arizona,Melons: 63155000, Lemons,Broccoli: 42683000,,,
Arkansas,Blueberries: 1482000,Peaches: 1969000,,,,
California,Strawberries: 1860000000,Grapes: 4950000000,,,,
Colorado,Strawberries: 1834783000,Oranges: 775643000,Melons:122850000,Cucumbers: 36285000,Pumpkin: 15255000,
Connecticut,Apples,,,,,
Delaware,Melons: 11732000,,,,,
Florida,Oranges: 905138000,Strawberries: 449770000,Pepper:209711000,Melons:123310000,Cucumbers:116866000,
Georgia,Onions: 113117000,Peaches,,,,
Hawaii,Coffee: 136495000,,,,,
Idaho,Apples:8737000,Onions: 44083000, Peaches: 8372000, Honey: 6902000, Cherries: 5267000,
Illinois,Pumpkin: 52407000,,,,,
Indiana,Melons: 33110000,Pumpkin: 9533000,,,,
Iowa,Apples: 2442000,,,,,
Kansas,Honey: 1008000,Cherries,,,,
Kentucky,Peaches: 389000,Apples: 3780000,,,,
Louisiana,Honey: 8494000,Apples,,,,
Maine,Blueberries: 250000000,Honey: 2552000,,,,
Maryland,Melons:13910000,Apples,,,,
Massachusetts,Apples,,,,,
Michigan,Carrots:12532000,Strawberries,Cucumbers: 61824000,Cherries,,
Minnesota,Pumpkin: 2999000,Sunflowers:23119000,,,,
Mississippi,Blueberries: 8040000,,,,,
Missouri,Melons: 12215000,,,,,
Montana,Cherries: 1769000,Honey: 31088000,,,,
Nebraska,Grapes,,,,,
Nevada,Onions,Honey,,,,
New Hampshire,Apples: 6000000 ,,,,,
New Jersey,Peaches: 27300000,Blueberries: 79500000,Pepper:29500000,,,
New Mexico,Chili: 38700000,,,,,
New York,Cabbage: 58074000,Strawberries: 7200000,Cherries,,,
North Carolina,Strawberries: 26928000,Cabbage: 12528000,,,,
North Dakota,Honey: 67565000,Sunflowers: 216096000,,,,
Ohio,Cucumbers: 7125000,Peaches,,,,
Oklahoma,Melons:7000000,Sunflowers: 1000000,,,,
Oregon,Strawberries: 9132000,Blueberries: 106000000,,,,
Pennsylvania,Melons: 3591000,Apples,,,,
Rhode Island,Apples,,,,,
South Carolina,Melons: 40954000,,,,,
South Dakota,Honey: 30570000,Sunflowers: 131948000,,,,
Tennessee,Pumpkin: 6028000,Apples,,,,
Texas,Melons: 72500000,Cabbage:34884000,Pumpkin:15392000,Cucumbers: 10873000,Chili: 8580000,
Utah,Honey: 1895000,Cherries,,,,
Vermont,Honey: 880000,Apples,,,,
Virginia,Pumpkin:  11160000,Apples,,,,
Washington,Strawberries: 8097000,Apples,Cherries,,,
West Virginia,Apples:23000000,Peaches,,,,
Wisconsin,Carrots: 10071000,,,,
Wyoming,Sunflowers,,,,,