State,January 2015,April 2015,July 2015,October 2015,January 2016,PercRemoved
Alabama,7000,7500	
Arizona,35000,33000
Arkansas,13000,13500
California,1440000,1040000
Colorado,3500,12000
Conneticut,3900,3000
Florida,305000,210000
Georgia,104000,114000
Hawaii,10500,13500
Idaho,81000,62000
Illinois,6000,9500
Indiana,9000,8000
Iowa,12500,12500
Kansas,4600,6000
Kentucky,7500,7500
Louisiana,51000,44000
Maine,3100,4600
Maryland,7500,8000
Massachusetts,2900,4100
Michigan,16500,58000
Minnesota,28000,71000
Mississippi,34000,89000
Missouri,12000,11500
Montana,8500,36000
Nebraska,10000,29000
New Jersey,6000,8500
New Mexico,7000,6500
New York,27000,24000
North Carolina,24000,19500
North Dakota,57000,121000
Ohio,18000,17500
Oklahoma,9500,25000
Oregon,77000,82000
Pennsylvania,14000,15500
South Dakota,50000,100000
Tennessee,9500,7500
Texas,191000,305000
Utah,6000,24000
Vermont,5500,6000
Virginia,8000,7500
Washington,52000,105000
West Virginia,4700,4700
Wisconsin,16500,25000
Wyoming,5500,12000